,rf_impurity,perm_importance
mean_submit_delay,0.28644,0.19919
n_submissions,0.1373,0.04393
mean_score_Exam,0.0353,0.01323
mean_score_TMA,0.04591,0.00399
D1_engagement,0.08367,0.00379
mean_score_CMA,0.02513,0.00317
D3_timeliness,0.03666,0.00266
min_score,0.03002,0.00205
max_score,0.0934,0.00164
mean_score,0.06297,0.00157
median_score,0.05429,0.00092
std_score,0.03942,0.00079
n_banked,0.00173,0.00072
studied_credits,0.00601,0.00064
MPI,0.01788,0.00058
imd_numeric,0.00814,0.00042
num_of_prev_attempts,0.00233,0.0002
education_level,0.0044,0.00012
age_midpoint,0.00226,0.00011
D2_diversity,0.02054,0.0
D4_persistence,0.00621,-0.00026
